date,hour,total
5/18 (2011),7 AM,274
5/18 (2011),8 AM,453
5/18 (2011),9 AM,202
5/18 (2011),10 AM,106
5/18 (2011),11 AM,23
5/18 (2011),12 PM,54
5/18 (2011),1 PM,122
5/18 (2011),2 PM,138
5/18 (2011),3 PM,167
5/18 (2011),4 PM,294
5/18 (2011),5 PM,565
5/18 (2011),6 PM,489
5/18 (2011),7 PM,331
5/18 (2011),8 PM,213
5/18 (2011),9 PM,85
5/18 (2011),10 PM,117
5/18 (2011),11 PM,59
5/19 (2011),12 AM,29
5/19 (2011),1 AM,6
5/19 (2011),2 AM,15
5/19 (2011),3 AM,4
5/19 (2011),4 AM,5
5/19 (2011),5 AM,26
5/19 (2011),6 AM,103
5/19 (2011),7 AM,257
5/19 (2011),8 AM,487
5/19 (2011),9 AM,216
5/19 (2011),10 AM,130
5/19 (2011),11 AM,164
5/19 (2011),12 PM,168
5/19 (2011),1 PM,183
5/19 (2011),2 PM,180
5/19 (2011),3 PM,188
5/19 (2011),4 PM,302
5/19 (2011),5 PM,547
5/19 (2011),6 PM,513
5/19 (2011),7 PM,410
5/19 (2011),8 PM,282
5/19 (2011),9 PM,209
5/19 (2011),10 PM,79
5/19 (2011),11 PM,72
5/20 (2011),12 AM,48
5/20 (2011),1 AM,25
5/20 (2011),2 AM,8
5/20 (2011),3 AM,5
5/20 (2011),4 AM,5
5/20 (2011),5 AM,28
5/20 (2011),6 AM,117
5/20 (2011),7 AM,319
5/20 (2011),8 AM,517
5/20 (2011),9 AM,234
5/20 (2011),10 AM,148
5/20 (2011),11 AM,196
5/20 (2011),12 PM,255
5/20 (2011),1 PM,232
5/20 (2011),2 PM,197
5/20 (2011),3 PM,242
5/20 (2011),4 PM,330
5/20 (2011),5 PM,554
5/20 (2011),6 PM,473
5/20 (2011),7 PM,302
5/20 (2011),8 PM,220
5/20 (2011),9 PM,195
5/20 (2011),10 PM,152
5/20 (2011),11 PM,115
5/21 (2011),12 AM,98
5/21 (2011),1 AM,72
5/21 (2011),2 AM,40
5/21 (2011),3 AM,19
5/21 (2011),4 AM,7
5/21 (2011),5 AM,5
5/21 (2011),6 AM,28
5/21 (2011),7 AM,43
5/21 (2011),8 AM,126
5/21 (2011),9 AM,225
5/21 (2011),10 AM,323
5/21 (2011),11 AM,418
5/21 (2011),12 PM,493
5/21 (2011),1 PM,462
5/21 (2011),2 PM,456
5/21 (2011),3 PM,506
5/21 (2011),4 PM,471
5/21 (2011),5 PM,444
5/21 (2011),6 PM,444
5/21 (2011),7 PM,301
5/21 (2011),8 PM,248
5/21 (2011),9 PM,227
5/21 (2011),10 PM,204
5/21 (2011),11 PM,145
5/22 (2011),12 AM,131
5/22 (2011),1 AM,98
5/22 (2011),2 AM,68
5/22 (2011),3 AM,33
5/22 (2011),4 AM,12
5/22 (2011),5 AM,6
5/22 (2011),6 AM,18
5/22 (2011),7 AM,40
5/22 (2011),8 AM,94
5/22 (2011),9 AM,189
5/22 (2011),10 AM,305
5/22 (2011),11 AM,373
5/22 (2011),12 PM,401
5/22 (2011),1 PM,455
5/22 (2011),2 PM,316
5/22 (2011),3 PM,331
5/22 (2011),4 PM,273
5/22 (2011),5 PM,306
5/22 (2011),6 PM,358
5/22 (2011),7 PM,300
5/22 (2011),8 PM,231
5/22 (2011),9 PM,136
5/22 (2011),10 PM,121
5/22 (2011),11 PM,65
5/23 (2011),12 AM,41
5/23 (2011),1 AM,9
5/23 (2011),2 AM,5
5/23 (2011),3 AM,4
5/23 (2011),4 AM,4
5/23 (2011),5 AM,11
5/23 (2011),6 AM,96
5/23 (2011),7 AM,236
5/23 (2011),8 AM,409
5/23 (2011),9 AM,167
5/23 (2011),10 AM,121
5/23 (2011),11 AM,180
5/23 (2011),12 PM,204
5/23 (2011),1 PM,204
5/23 (2011),2 PM,187
5/23 (2011),3 PM,176
5/23 (2011),4 PM,279
5/23 (2011),5 PM,429
5/23 (2011),6 PM,453
5/23 (2011),7 PM,358
5/23 (2011),8 PM,310
5/23 (2011),9 PM,188
5/23 (2011),10 PM,131
5/23 (2011),11 PM,72
5/24 (2011),12 AM,35
5/24 (2011),1 AM,15
5/24 (2011),2 AM,10
5/24 (2011),3 AM,2
5/24 (2011),4 AM,4
5/24 (2011),5 AM,24
5/24 (2011),6 AM,112
5/24 (2011),7 AM,314
5/24 (2011),8 AM,434
5/24 (2011),9 AM,138
5/24 (2011),10 AM,108
5/24 (2011),11 AM,175
5/24 (2011),12 PM,170
5/24 (2011),1 PM,190
5/24 (2011),2 PM,153
5/24 (2011),3 PM,188
5/24 (2011),4 PM,277
5/24 (2011),5 PM,548
5/24 (2011),6 PM,564
5/24 (2011),7 PM,355
5/24 (2011),8 PM,280
5/24 (2011),9 PM,189
5/24 (2011),10 PM,141
5/24 (2011),11 PM,66
5/25 (2011),12 AM,35
5/25 (2011),1 AM,8
5/25 (2011),2 AM,8
5/25 (2011),3 AM,9
5/25 (2011),4 AM,3
5/25 (2011),5 AM,25
5/25 (2011),6 AM,117
5/25 (2011),7 AM,313
5/25 (2011),8 AM,531
5/25 (2011),9 AM,234
5/25 (2011),10 AM,135
5/25 (2011),11 AM,140
5/25 (2011),12 PM,210
5/25 (2011),1 PM,202
5/25 (2011),2 PM,168
5/25 (2011),3 PM,182
5/25 (2011),4 PM,299
5/25 (2011),5 PM,601
5/25 (2011),6 PM,517
5/25 (2011),7 PM,405
5/25 (2011),8 PM,340
5/25 (2011),9 PM,236
5/25 (2011),10 PM,174
5/25 (2011),11 PM,86
5/26 (2011),12 AM,45
5/26 (2011),1 AM,16
5/26 (2011),2 AM,14
5/26 (2011),3 AM,4
5/26 (2011),4 AM,2
5/26 (2011),5 AM,27
5/26 (2011),6 AM,98
5/26 (2011),7 AM,286
5/26 (2011),8 AM,489
5/26 (2011),9 AM,216
5/26 (2011),10 AM,143
5/26 (2011),11 AM,160
5/26 (2011),12 PM,194
5/26 (2011),1 PM,197
5/26 (2011),2 PM,189
5/26 (2011),3 PM,141
5/26 (2011),4 PM,291
5/26 (2011),5 PM,494
5/26 (2011),6 PM,478
5/26 (2011),7 PM,378
5/26 (2011),8 PM,322
5/26 (2011),9 PM,223
5/26 (2011),10 PM,180
5/26 (2011),11 PM,90
5/27 (2011),12 AM,69
5/27 (2011),1 AM,50
5/27 (2011),2 AM,18
5/27 (2011),3 AM,12
5/27 (2011),4 AM,7
5/27 (2011),5 AM,31
5/27 (2011),6 AM,81
5/27 (2011),7 AM,249
5/27 (2011),8 AM,418
5/27 (2011),9 AM,227
5/27 (2011),10 AM,153
5/27 (2011),11 AM,166
5/27 (2011),12 PM,243
5/27 (2011),1 PM,209
5/27 (2011),2 PM,239
5/27 (2011),3 PM,356
5/27 (2011),4 PM,419
5/27 (2011),5 PM,491
5/27 (2011),6 PM,399
5/27 (2011),7 PM,279
5/27 (2011),8 PM,144
5/27 (2011),9 PM,151
5/27 (2011),10 PM,141
5/27 (2011),11 PM,127
5/28 (2011),12 AM,94
5/28 (2011),1 AM,55
5/28 (2011),2 AM,48
5/28 (2011),3 AM,15
5/28 (2011),4 AM,4
5/28 (2011),5 AM,7
5/28 (2011),6 AM,19
5/28 (2011),7 AM,50
5/28 (2011),8 AM,102
5/28 (2011),9 AM,177
5/28 (2011),10 AM,276
5/28 (2011),11 AM,349
5/28 (2011),12 PM,358
5/28 (2011),1 PM,385
5/28 (2011),2 PM,382
5/28 (2011),3 PM,374
5/28 (2011),4 PM,402
5/28 (2011),5 PM,341
5/28 (2011),6 PM,385
5/28 (2011),7 PM,252
5/28 (2011),8 PM,196
5/28 (2011),9 PM,201
5/28 (2011),10 PM,161
5/28 (2011),11 PM,125
5/29 (2011),12 AM,83
5/29 (2011),1 AM,66
5/29 (2011),2 AM,61
5/29 (2011),3 AM,26
5/29 (2011),4 AM,23
5/29 (2011),5 AM,6
5/29 (2011),6 AM,15
5/29 (2011),7 AM,30
5/29 (2011),8 AM,96
5/29 (2011),9 AM,152
5/29 (2011),10 AM,251
5/29 (2011),11 AM,319
5/29 (2011),12 PM,402
5/29 (2011),1 PM,418
5/29 (2011),2 PM,351
5/29 (2011),3 PM,376
5/29 (2011),4 PM,361
5/29 (2011),5 PM,383
5/29 (2011),6 PM,328
5/29 (2011),7 PM,287
5/29 (2011),8 PM,219
5/29 (2011),9 PM,229
5/29 (2011),10 PM,171
5/29 (2011),11 PM,135
5/30 (2011),12 AM,103
5/30 (2011),1 AM,79
5/30 (2011),2 AM,45
5/30 (2011),3 AM,18
5/30 (2011),4 AM,6
5/30 (2011),5 AM,7
5/30 (2011),6 AM,16
5/30 (2011),7 AM,31
5/30 (2011),8 AM,94
5/30 (2011),9 AM,128
5/30 (2011),10 AM,269
5/30 (2011),11 AM,321
5/30 (2011),12 PM,366
5/30 (2011),1 PM,350
5/30 (2011),2 PM,327
5/30 (2011),3 PM,311
5/30 (2011),4 PM,309
5/30 (2011),5 PM,304
5/30 (2011),6 PM,249
5/30 (2011),7 PM,225
5/30 (2011),8 PM,237
5/30 (2011),9 PM,149
5/30 (2011),10 PM,106
5/30 (2011),11 PM,48
5/31 (2011),12 AM,29
5/31 (2011),1 AM,17
5/31 (2011),2 AM,12
5/31 (2011),3 AM,4
5/31 (2011),4 AM,3
5/31 (2011),5 AM,26
5/31 (2011),6 AM,109
5/31 (2011),7 AM,235
5/31 (2011),8 AM,406
5/31 (2011),9 AM,175
5/31 (2011),10 AM,109
5/31 (2011),11 AM,106
5/31 (2011),12 PM,162
5/31 (2011),1 PM,147
5/31 (2011),2 PM,140
5/31 (2011),3 PM,175
5/31 (2011),4 PM,249
5/31 (2011),5 PM,495
5/31 (2011),6 PM,417
5/31 (2011),7 PM,285
5/31 (2011),8 PM,251
5/31 (2011),9 PM,210
5/31 (2011),10 PM,159
5/31 (2011),11 PM,61
6/1 (2011),12 AM,34
6/1 (2011),1 AM,17
6/1 (2011),2 AM,3
6/1 (2011),3 AM,6
6/1 (2011),4 AM,4
6/1 (2011),5 AM,21
6/1 (2011),6 AM,128
6/1 (2011),7 AM,284
6/1 (2011),8 AM,454
6/1 (2011),9 AM,207
6/1 (2011),10 AM,115
6/1 (2011),11 AM,112
6/1 (2011),12 PM,169
6/1 (2011),1 PM,154
6/1 (2011),2 PM,145
6/1 (2011),3 PM,152
6/1 (2011),4 PM,266
6/1 (2011),5 PM,486
6/1 (2011),6 PM,309
6/1 (2011),7 PM,264
6/1 (2011),8 PM,256
6/1 (2011),9 PM,190
6/1 (2011),10 PM,129
6/1 (2011),11 PM,69
6/2 (2011),12 AM,42
6/2 (2011),1 AM,15
6/2 (2011),2 AM,6
6/2 (2011),3 AM,4
6/2 (2011),4 AM,3
6/2 (2011),5 AM,31
6/2 (2011),6 AM,113
6/2 (2011),7 AM,304
6/2 (2011),8 AM,467
6/2 (2011),9 AM,225
6/2 (2011),10 AM,139
6/2 (2011),11 AM,165
6/2 (2011),12 PM,232
6/2 (2011),1 PM,203
6/2 (2011),2 PM,185
6/2 (2011),3 PM,188
6/2 (2011),4 PM,318
6/2 (2011),5 PM,572
6/2 (2011),6 PM,525
6/2 (2011),7 PM,379
6/2 (2011),8 PM,337
6/2 (2011),9 PM,248
6/2 (2011),10 PM,155
6/2 (2011),11 PM,112
6/3 (2011),12 AM,68
6/3 (2011),1 AM,22
6/3 (2011),2 AM,12
6/3 (2011),3 AM,5
6/3 (2011),4 AM,6
6/3 (2011),5 AM,28
6/3 (2011),6 AM,106
6/3 (2011),7 AM,277
6/3 (2011),8 AM,502
6/3 (2011),9 AM,230
6/3 (2011),10 AM,161
6/3 (2011),11 AM,192
6/3 (2011),12 PM,259
6/3 (2011),1 PM,248
6/3 (2011),2 PM,240
6/3 (2011),3 PM,212
6/3 (2011),4 PM,349
6/3 (2011),5 PM,558
6/3 (2011),6 PM,564
6/3 (2011),7 PM,391
6/3 (2011),8 PM,293
6/3 (2011),9 PM,247
6/3 (2011),10 PM,171
6/3 (2011),11 PM,171
6/4 (2011),12 AM,93
6/4 (2011),1 AM,94
6/4 (2011),2 AM,59
6/4 (2011),3 AM,18
6/4 (2011),4 AM,15
6/4 (2011),5 AM,8
6/4 (2011),6 AM,28
6/4 (2011),7 AM,87
6/4 (2011),8 AM,125
6/4 (2011),9 AM,224
6/4 (2011),10 AM,317
6/4 (2011),11 AM,369
6/4 (2011),12 PM,420
6/4 (2011),1 PM,456
6/4 (2011),2 PM,451
6/4 (2011),3 PM,404
6/4 (2011),4 PM,440
6/4 (2011),5 PM,344
6/4 (2011),6 PM,341
6/4 (2011),7 PM,285
6/4 (2011),8 PM,239
6/4 (2011),9 PM,185
6/4 (2011),10 PM,190
6/4 (2011),11 PM,150
6/5 (2011),12 AM,113
6/5 (2011),1 AM,96
6/5 (2011),2 AM,64
6/5 (2011),3 AM,47
6/5 (2011),4 AM,12
6/5 (2011),5 AM,6
6/5 (2011),6 AM,21
6/5 (2011),7 AM,27
6/5 (2011),8 AM,98
6/5 (2011),9 AM,164
6/5 (2011),10 AM,251
6/5 (2011),11 AM,335
6/5 (2011),12 PM,335
6/5 (2011),1 PM,367
6/5 (2011),2 PM,385
6/5 (2011),3 PM,417
6/5 (2011),4 PM,398
6/5 (2011),5 PM,390
6/5 (2011),6 PM,363
6/5 (2011),7 PM,357
6/5 (2011),8 PM,279
6/5 (2011),9 PM,165
6/5 (2011),10 PM,130
6/5 (2011),11 PM,86
6/6 (2011),12 AM,29
6/6 (2011),1 AM,14
6/6 (2011),2 AM,8
6/6 (2011),3 AM,5
6/6 (2011),4 AM,8
6/6 (2011),5 AM,31
6/6 (2011),6 AM,112
6/6 (2011),7 AM,299
6/6 (2011),8 AM,438
6/6 (2011),9 AM,188
6/6 (2011),10 AM,95
6/6 (2011),11 AM,111
6/6 (2011),12 PM,153
6/6 (2011),1 PM,180
6/6 (2011),2 PM,145
6/6 (2011),3 PM,165
6/6 (2011),4 PM,267
6/6 (2011),5 PM,579
6/6 (2011),6 PM,556
6/6 (2011),7 PM,407
6/6 (2011),8 PM,336
6/6 (2011),9 PM,189
6/6 (2011),10 PM,173
6/6 (2011),11 PM,60
6/7 (2011),12 AM,20
6/7 (2011),1 AM,4
6/7 (2011),2 AM,5
6/7 (2011),3 AM,2
6/7 (2011),4 AM,5
6/7 (2011),5 AM,32
6/7 (2011),6 AM,126
6/7 (2011),7 AM,334
6/7 (2011),8 AM,477
6/7 (2011),9 AM,217
6/7 (2011),10 AM,123
6/7 (2011),11 AM,151
6/7 (2011),12 PM,183
6/7 (2011),1 PM,196
6/7 (2011),2 PM,146
6/7 (2011),3 PM,183
6/7 (2011),4 PM,308
6/7 (2011),5 PM,539
6/7 (2011),6 PM,551
6/7 (2011),7 PM,424
6/7 (2011),8 PM,346
6/7 (2011),9 PM,218
6/7 (2011),10 PM,153
6/7 (2011),11 PM,90
6/8 (2011),12 AM,41
6/8 (2011),1 AM,23
6/8 (2011),2 AM,7
6/8 (2011),3 AM,3
6/8 (2011),4 AM,6
6/8 (2011),5 AM,21
6/8 (2011),6 AM,116
6/8 (2011),7 AM,353
6/8 (2011),8 AM,481
6/8 (2011),9 AM,202
6/8 (2011),10 AM,90
6/8 (2011),11 AM,134
6/8 (2011),12 PM,149
6/8 (2011),1 PM,136
6/8 (2011),2 PM,155
6/8 (2011),3 PM,128
6/8 (2011),4 PM,233
6/8 (2011),5 PM,506
6/8 (2011),6 PM,459
6/8 (2011),7 PM,384
6/8 (2011),8 PM,280
6/8 (2011),9 PM,202
6/8 (2011),10 PM,176
6/8 (2011),11 PM,116
6/9 (2011),12 AM,47
6/9 (2011),1 AM,16
6/9 (2011),2 AM,6
6/9 (2011),3 AM,2
6/9 (2011),4 AM,6
6/9 (2011),5 AM,20
6/9 (2011),6 AM,118
6/9 (2011),7 AM,314
6/9 (2011),8 AM,432
6/9 (2011),9 AM,168
6/9 (2011),10 AM,94
6/9 (2011),11 AM,118
6/9 (2011),12 PM,140
6/9 (2011),1 PM,136
6/9 (2011),2 PM,118
6/9 (2011),3 PM,104
6/9 (2011),4 PM,200
6/9 (2011),5 PM,409
6/9 (2011),6 PM,466
6/9 (2011),7 PM,326
6/9 (2011),8 PM,254
6/9 (2011),9 PM,171
6/9 (2011),10 PM,153
6/9 (2011),11 PM,97
6/10 (2011),12 AM,69
6/10 (2011),1 AM,23
6/10 (2011),2 AM,13
6/10 (2011),3 AM,6
6/10 (2011),4 AM,4
6/10 (2011),5 AM,28
6/10 (2011),6 AM,104
6/10 (2011),7 AM,267
6/10 (2011),8 AM,452
6/10 (2011),9 AM,213
6/10 (2011),10 AM,111
6/10 (2011),11 AM,153
6/10 (2011),12 PM,207
6/10 (2011),1 PM,189
6/10 (2011),2 PM,165
6/10 (2011),3 PM,212
6/10 (2011),4 PM,285
6/10 (2011),5 PM,517
6/10 (2011),6 PM,463
6/10 (2011),7 PM,306
6/10 (2011),8 PM,250
6/10 (2011),9 PM,218
6/10 (2011),10 PM,185
6/10 (2011),11 PM,146
6/11 (2011),12 AM,117
6/11 (2011),1 AM,77
6/11 (2011),2 AM,60
6/11 (2011),3 AM,28
6/11 (2011),4 AM,13
6/11 (2011),5 AM,16
6/11 (2011),6 AM,40
6/11 (2011),7 AM,68
6/11 (2011),8 AM,143
6/11 (2011),9 AM,230
6/11 (2011),10 AM,264
6/11 (2011),11 AM,325
6/11 (2011),12 PM,347
6/11 (2011),1 PM,387
6/11 (2011),2 PM,380
6/11 (2011),3 PM,374
6/11 (2011),4 PM,394
6/11 (2011),5 PM,337
6/11 (2011),6 PM,286
6/11 (2011),7 PM,264
6/11 (2011),8 PM,275
6/11 (2011),9 PM,220
6/11 (2011),10 PM,190
6/11 (2011),11 PM,131
6/12 (2011),12 AM,119
6/12 (2011),1 AM,93
6/12 (2011),2 AM,66
6/12 (2011),3 AM,28
6/12 (2011),4 AM,14
6/12 (2011),5 AM,10
6/12 (2011),6 AM,14
6/12 (2011),7 AM,34
6/12 (2011),8 AM,92
6/12 (2011),9 AM,182
6/12 (2011),10 AM,311
6/12 (2011),11 AM,367
6/12 (2011),12 PM,420
6/12 (2011),1 PM,373
6/12 (2011),2 PM,315
6/12 (2011),3 PM,360
6/12 (2011),4 PM,350
6/12 (2011),5 PM,252
6/12 (2011),6 PM,256
6/12 (2011),7 PM,223
6/12 (2011),8 PM,206
6/12 (2011),9 PM,140
6/12 (2011),10 PM,128
6/12 (2011),11 PM,107
6/13 (2011),12 AM,28
6/13 (2011),1 AM,16
6/13 (2011),2 AM,10
6/13 (2011),3 AM,7
6/13 (2011),4 AM,4
6/13 (2011),5 AM,29
6/13 (2011),6 AM,105
6/13 (2011),7 AM,328
6/13 (2011),8 AM,476
6/13 (2011),9 AM,224
6/13 (2011),10 AM,118
6/13 (2011),11 AM,159
6/13 (2011),12 PM,196
6/13 (2011),1 PM,227
6/13 (2011),2 PM,200
6/13 (2011),3 PM,185
6/13 (2011),4 PM,326
6/13 (2011),5 PM,601
6/13 (2011),6 PM,586
6/13 (2011),7 PM,423
6/13 (2011),8 PM,331
6/13 (2011),9 PM,218
6/13 (2011),10 PM,134
6/13 (2011),11 PM,89
6/14 (2011),12 AM,31
6/14 (2011),1 AM,13
6/14 (2011),2 AM,10
6/14 (2011),3 AM,2
6/14 (2011),4 AM,3
6/14 (2011),5 AM,26
6/14 (2011),6 AM,113
6/14 (2011),7 AM,365
6/14 (2011),8 AM,486
6/14 (2011),9 AM,193
6/14 (2011),10 AM,130
6/14 (2011),11 AM,143
6/14 (2011),12 PM,169
6/14 (2011),1 PM,209
6/14 (2011),2 PM,159
6/14 (2011),3 PM,178
6/14 (2011),4 PM,330
6/14 (2011),5 PM,569
6/14 (2011),6 PM,538
6/14 (2011),7 PM,386
6/14 (2011),8 PM,297
6/14 (2011),9 PM,243
6/14 (2011),10 PM,188
6/14 (2011),11 PM,110
6/15 (2011),12 AM,52
6/15 (2011),1 AM,14
6/15 (2011),2 AM,9
6/15 (2011),3 AM,1
6/15 (2011),4 AM,4
6/15 (2011),5 AM,21
6/15 (2011),6 AM,121
6/15 (2011),7 AM,370
6/15 (2011),8 AM,498
6/15 (2011),9 AM,207
6/15 (2011),10 AM,135
6/15 (2011),11 AM,164
6/15 (2011),12 PM,211
6/15 (2011),1 PM,189
6/15 (2011),2 PM,178
6/15 (2011),3 PM,164
6/15 (2011),4 PM,312
6/15 (2011),5 PM,638
6/15 (2011),6 PM,607
6/15 (2011),7 PM,416
6/15 (2011),8 PM,330
6/15 (2011),9 PM,257
6/15 (2011),10 PM,175
6/15 (2011),11 PM,107
6/16 (2011),12 AM,47
6/16 (2011),1 AM,17
6/16 (2011),2 AM,5
6/16 (2011),3 AM,4
6/16 (2011),4 AM,6
6/16 (2011),5 AM,25
6/16 (2011),6 AM,112
6/16 (2011),7 AM,188
6/16 (2011),8 AM,388
6/16 (2011),9 AM,261
6/16 (2011),10 AM,121
6/16 (2011),11 AM,150
6/16 (2011),12 PM,206
6/16 (2011),1 PM,151
6/16 (2011),2 PM,153
6/16 (2011),3 PM,159
6/16 (2011),4 PM,294
6/16 (2011),5 PM,272
6/16 (2011),6 PM,325
6/16 (2011),7 PM,327
6/16 (2011),8 PM,201
6/16 (2011),9 PM,188
6/16 (2011),10 PM,151
6/16 (2011),11 PM,16
6/17 (2011),12 AM,24
6/17 (2011),1 AM,23
6/17 (2011),2 AM,13
6/17 (2011),3 AM,6
6/17 (2011),4 AM,6
6/17 (2011),5 AM,13
6/17 (2011),6 AM,97
6/17 (2011),7 AM,250
6/17 (2011),8 AM,454
6/17 (2011),9 AM,224
6/17 (2011),10 AM,170
6/17 (2011),11 AM,181
6/17 (2011),12 PM,243
6/17 (2011),1 PM,204
6/17 (2011),2 PM,215
6/17 (2011),3 PM,243
6/17 (2011),4 PM,355
6/17 (2011),5 PM,552
6/17 (2011),6 PM,450
6/17 (2011),7 PM,328
6/17 (2011),8 PM,232
6/17 (2011),9 PM,208
6/17 (2011),10 PM,175
6/17 (2011),11 PM,178
6/18 (2011),12 AM,104
6/18 (2011),1 AM,95
6/18 (2011),2 AM,53
6/18 (2011),3 AM,20
6/18 (2011),4 AM,5
6/18 (2011),5 AM,7
6/18 (2011),6 AM,27
6/18 (2011),7 AM,57
6/18 (2011),8 AM,131
6/18 (2011),9 AM,218
6/18 (2011),10 AM,244
6/18 (2011),11 AM,404
6/18 (2011),12 PM,420
6/18 (2011),1 PM,327
6/18 (2011),2 PM,334
6/18 (2011),3 PM,367
6/18 (2011),4 PM,468
6/18 (2011),5 PM,449
6/18 (2011),6 PM,381
6/18 (2011),7 PM,326
6/18 (2011),8 PM,188
6/18 (2011),9 PM,183
6/18 (2011),10 PM,161
6/18 (2011),11 PM,150
6/19 (2011),12 AM,89
6/19 (2011),1 AM,76
6/19 (2011),2 AM,72
6/19 (2011),3 AM,30
6/19 (2011),4 AM,17
6/19 (2011),5 AM,19
6/19 (2011),6 AM,33
6/19 (2011),7 AM,71
6/19 (2011),8 AM,84
6/19 (2011),9 AM,169
6/19 (2011),10 AM,244
6/19 (2011),11 AM,377
6/19 (2011),12 PM,396
6/19 (2011),1 PM,363
6/19 (2011),2 PM,317
6/19 (2011),3 PM,362
6/19 (2011),4 PM,378
6/19 (2011),5 PM,397
6/19 (2011),6 PM,296
6/19 (2011),7 PM,311
6/19 (2011),8 PM,232
6/19 (2011),9 PM,167
6/19 (2011),10 PM,152
6/19 (2011),11 PM,92
6/20 (2011),12 AM,26
6/20 (2011),1 AM,12
6/20 (2011),2 AM,2
6/20 (2011),3 AM,1
6/20 (2011),4 AM,3
6/20 (2011),5 AM,3
6/20 (2011),6 AM,26
6/20 (2011),7 AM,46
6/20 (2011),8 AM,221
6/20 (2011),9 AM,219
6/20 (2011),10 AM,91
6/20 (2011),11 AM,94
6/20 (2011),12 PM,162
6/20 (2011),1 PM,179
6/20 (2011),2 PM,175
6/20 (2011),3 PM,205
6/20 (2011),4 PM,299
6/20 (2011),5 PM,565
6/20 (2011),6 PM,538
6/20 (2011),7 PM,431
6/20 (2011),8 PM,316
6/20 (2011),9 PM,206
6/20 (2011),10 PM,130
6/20 (2011),11 PM,60
6/21 (2011),12 AM,33
6/21 (2011),1 AM,14
6/21 (2011),2 AM,6
6/21 (2011),3 AM,2
6/21 (2011),4 AM,9
6/21 (2011),5 AM,25
6/21 (2011),6 AM,115
6/21 (2011),7 AM,309
6/21 (2011),8 AM,401
6/21 (2011),9 AM,275
6/21 (2011),10 AM,161
6/21 (2011),11 AM,171
6/21 (2011),12 PM,189
6/21 (2011),1 PM,207
6/21 (2011),2 PM,152
6/21 (2011),3 PM,170
6/21 (2011),4 PM,335
6/21 (2011),5 PM,572
6/21 (2011),6 PM,536
6/21 (2011),7 PM,425
6/21 (2011),8 PM,326
6/21 (2011),9 PM,229
6/21 (2011),10 PM,109
6/21 (2011),11 PM,64
6/22 (2011),12 AM,33
6/22 (2011),1 AM,21
6/22 (2011),2 AM,7
6/22 (2011),3 AM,7
6/22 (2011),4 AM,11
6/22 (2011),5 AM,23
6/22 (2011),6 AM,122
6/22 (2011),7 AM,311
6/22 (2011),8 AM,423
6/22 (2011),9 AM,219
6/22 (2011),10 AM,135
6/22 (2011),11 AM,145
6/22 (2011),12 PM,188
6/22 (2011),1 PM,147
6/22 (2011),2 PM,145
6/22 (2011),3 PM,146
6/22 (2011),4 PM,258
6/22 (2011),5 PM,529
6/22 (2011),6 PM,513
6/22 (2011),7 PM,342
6/22 (2011),8 PM,282
6/22 (2011),9 PM,247
6/22 (2011),10 PM,148
6/22 (2011),11 PM,105
6/23 (2011),12 AM,49
6/23 (2011),1 AM,31
6/23 (2011),2 AM,4
6/23 (2011),3 AM,5
6/23 (2011),4 AM,7
6/23 (2011),5 AM,24
6/23 (2011),6 AM,100
6/23 (2011),7 AM,327
6/23 (2011),8 AM,432
6/23 (2011),9 AM,227
6/23 (2011),10 AM,127
6/23 (2011),11 AM,136
6/23 (2011),12 PM,160
6/23 (2011),1 PM,186
6/23 (2011),2 PM,149
6/23 (2011),3 PM,189
6/23 (2011),4 PM,275
6/23 (2011),5 PM,569
6/23 (2011),6 PM,540
6/23 (2011),7 PM,400
6/23 (2011),8 PM,352
6/23 (2011),9 PM,234
6/23 (2011),10 PM,162
6/23 (2011),11 PM,105
6/24 (2011),12 AM,63
6/24 (2011),1 AM,28
6/24 (2011),2 AM,14
6/24 (2011),3 AM,5
6/24 (2011),4 AM,9
6/24 (2011),5 AM,20
6/24 (2011),6 AM,91
6/24 (2011),7 AM,268
6/24 (2011),8 AM,466
6/24 (2011),9 AM,231
6/24 (2011),10 AM,145
6/24 (2011),11 AM,203
6/24 (2011),12 PM,201
6/24 (2011),1 PM,221
6/24 (2011),2 PM,229
6/24 (2011),3 PM,216
6/24 (2011),4 PM,327
6/24 (2011),5 PM,557
6/24 (2011),6 PM,452
6/24 (2011),7 PM,385
6/24 (2011),8 PM,288
6/24 (2011),9 PM,233
6/24 (2011),10 PM,167
6/24 (2011),11 PM,172
6/25 (2011),12 AM,116
6/25 (2011),1 AM,95
6/25 (2011),2 AM,59
6/25 (2011),3 AM,39
6/25 (2011),4 AM,11
6/25 (2011),5 AM,14
6/25 (2011),6 AM,29
6/25 (2011),7 AM,42
6/25 (2011),8 AM,112
6/25 (2011),9 AM,186
6/25 (2011),10 AM,302
6/25 (2011),11 AM,331
6/25 (2011),12 PM,392
6/25 (2011),1 PM,371
6/25 (2011),2 PM,383
6/25 (2011),3 PM,392
6/25 (2011),4 PM,410
6/25 (2011),5 PM,399
6/25 (2011),6 PM,307
6/25 (2011),7 PM,375
6/25 (2011),8 PM,269
6/25 (2011),9 PM,202
6/25 (2011),10 PM,187
6/25 (2011),11 PM,179
6/26 (2011),12 AM,115
6/26 (2011),1 AM,90
6/26 (2011),2 AM,87
